noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
penyakit	meteran	0.03
penyakit	tuturan	0.11
penyakit	ujaran	0.19
penyakit	penjepit	0.15
penyakit	penggaris	0.06
penyakit	tamparan	0.19
penyakit	hantaman	0.29
penyakit	layangan	0.1
penyakit	gurauan	0.25
penyakit	kelaziman	0.24
penyakit	kemustahilan	0.28
penyakit	penyerah	0.29
perusahaan	perjalanan	0.33
perusahaan	makanan	0.34
perusahaan	pendidikan	0.37
perusahaan	pemerintah	0.51
perusahaan	tujuan	0.41
perusahaan	kehidupan	0.32
perusahaan	hubungan	0.37
perusahaan	kegiatan	0.44
perusahaan	kecamatan	0.3
perusahaan	penilaian	0.31
perusahaan	kemampuan	0.4
perusahaan	lingkungan	0.41
perusahaan	kebutuhan	0.39
perusahaan	keadaan	0.3
perusahaan	pekerjaan	0.5
perusahaan	perubahan	0.33
perusahaan	permainan	0.32
perusahaan	pilihan	0.3
perusahaan	pertanyaan	0.3
perusahaan	penelitian	0.34
perusahaan	jaringan	0.43
perusahaan	pemerintahan	0.41
perusahaan	kekuatan	0.33
perusahaan	ukuran	0.33
perusahaan	tanaman	0.33
perusahaan	layanan	0.44
perusahaan	perkembangan	0.36
perusahaan	pertandingan	0.28
perusahaan	bangunan	0.4
perusahaan	pembangunan	0.39
perusahaan	tindakan	0.34
perusahaan	gerakan	0.29
perusahaan	kerajaan	0.4
perusahaan	kematian	0.18
perusahaan	kebijakan	0.41
perusahaan	pembelajaran	0.28
perusahaan	serangan	0.23
perusahaan	tulisan	0.23
perusahaan	jawaban	0.18
perusahaan	perbedaan	0.26
perusahaan	kekuasaan	0.32
perusahaan	keputusan	0.4
perusahaan	keuntungan	0.44
perusahaan	kehilangan	0.31
perusahaan	kejadian	0.27
perusahaan	kendaraan	0.43
perusahaan	perasaan	0.21
perusahaan	pelajaran	0.22
perusahaan	ruangan	0.31
perusahaan	peningkatan	0.28
perusahaan	saluran	0.33
perusahaan	aliran	0.26
perusahaan	laporan	0.39
perusahaan	pemilihan	0.34
perusahaan	kemenangan	0.24
perusahaan	pernikahan	0.29
perusahaan	catatan	0.26
perusahaan	pertemuan	0.27
perusahaan	penjualan	0.53
perusahaan	kesalahan	0.31
perusahaan	pandangan	0.26
perusahaan	lapangan	0.32
perusahaan	perbuatan	0.31
perusahaan	keinginan	0.35
perusahaan	jabatan	0.37
perusahaan	penampilan	0.25
perusahaan	aturan	0.29
perusahaan	harapan	0.29
perusahaan	perencanaan	0.4
perusahaan	latihan	0.23
perusahaan	peralatan	0.43
perusahaan	penjelasan	0.21
perusahaan	kepercayaan	0.34
perusahaan	peraturan	0.4
perusahaan	kebiasaan	0.29
perusahaan	permasalahan	0.3
perusahaan	pemikiran	0.29
perusahaan	ajaran	0.18
perusahaan	permintaan	0.37
perusahaan	kebenaran	0.24
perusahaan	pemahaman	0.26
perusahaan	pernyataan	0.29
perusahaan	kebudayaan	0.33
perusahaan	perjanjian	0.42
perusahaan	campuran	0.24
perusahaan	pertempuran	0.24
perusahaan	pendekatan	0.29
perusahaan	pelatihan	0.39
