noun_w_ekor	noun_w_orang	cossim
pemburu	penyayang	0.3
pemburu	pemukul	0.29
pemburu	perencana	0.28
pemburu	pengumpul	0.49
pemburu	wirausahawan	0.28
pemburu	penangkap	0.49
pemburu	penyelam	0.42
pemburu	pemasar	0.38
pemburu	pemalas	0.35
pemburu	penarik	0.36
pemburu	pengembara	0.46
pemburu	gerilyawan	0.35
pemburu	penggagas	0.27
pemburu	penyembah	0.35
pemburu	penilai	0.27
pemburu	penguji	0.24
pemburu	pengunjuk	0.14
pemburu	penyembuh	0.27
pemburu	rohaniwan	0.28
pemburu	pemanah	0.45
pemburu	penyelidik	0.35
pemburu	penampil	0.25
pemburu	peranakan	0.2
pemburu	suruhan	0.24
pemburu	usahawan	0.32
pemburu	pelapor	0.26
pemburu	pemahat	0.27
pemburu	penunggu	0.29
pemburu	penurut	0.22
pemburu	pengusul	0.29
pemburu	pemimpi	0.32
pemburu	penyusup	0.34
pemburu	pemungut	0.35
pemburu	penceramah	0.18
pemburu	penggarap	0.32
pemburu	pelupa	0.23
pemburu	perupa	0.18
pemburu	penyendiri	0.38
pemburu	pemateri	0.21
pemburu	penggali	0.39
pemburu	penukar	0.28
pemburu	penyabar	0.23
pemburu	pelempar	0.39
pemburu	pemborong	0.24
pemburu	pendemo	0.19
pemburu	pencerita	0.32
pemburu	penyelundup	0.44
pemburu	penganggur	0.3
pemburu	penggiling	0.27
pemburu	pengulas	0.3
pemburu	penagih	0.36
pemburu	hartawan	0.32
pemburu	perumus	0.23
pemburu	peniup	0.29
pemburu	penggalang	0.31
pemburu	pembenci	0.34
pemburu	pengkaji	0.35
pemburu	pembebas	0.24
pemburu	pemetik	0.34
pemburu	penjilat	0.35
pemburu	pencabut	0.28
pemburu	peramah	0.28
pemburu	pengukir	0.31
pemburu	pengejar	0.57
pemburu	pemerah	0.24
pemburu	wiraswastawan	0.27
pemburu	pemulia	0.37
pemburu	penendang	0.31
pemburu	penyimak	0.28
pemburu	pelestari	0.4
pemburu	penjemput	0.27
pemburu	pembaru	0.23
pemburu	penghayat	0.24
pemburu	pengadu	0.28
pemburu	pemasak	0.24
pemburu	pembobol	0.3
pemburu	penggemblengan	0.24
pemburu	penghasut	0.3
pemburu	penderma	0.22
pemburu	pemaksa	0.25
pemburu	peragu	0.21
pemburu	pengekor	0.29
pemburu	perayu	0.36
pemburu	pendebat	0.25
pemburu	penyuara	0.25
pemburu	pemimpinan	0.27
pemburu	penghadang	0.31
pemburu	pengasah	0.32
pemburu	pengutang	0.25
pemburu	pembisik	0.32
pemburu	pengetuk	0.32
pemburu	pemberang	0.41
pemburu	peneguh	0.22
pemburu	pewirausaha	0.36
pemburu	pencuriga	0.37
pemburu	pengalah	0.36
pemburu	pengalasan	0.35
pemburu	pengamuk	0.37
