noun_w_ekor_noaffix1	noun_w_ekor_noaffix2	cossim
sapi	monyet	0.36
sapi	lele	0.46
sapi	rusa	0.51
sapi	serigala	0.38
sapi	katak	0.34
sapi	unta	0.51
sapi	kera	0.34
sapi	ulat	0.33
sapi	kepiting	0.36
sapi	kodok	0.35
sapi	penyu	0.33
sapi	elang	0.34
sapi	rubah	0.28
sapi	kadal	0.3
sapi	merpati	0.31
sapi	lembu	0.62
sapi	kelelawar	0.3
sapi	belut	0.38
sapi	bersayap	0.27
sapi	keledai	0.45
sapi	belalang	0.28
sapi	siput	0.31
sapi	angsa	0.36
sapi	banteng	0.5
sapi	jangkrik	0.36
sapi	cupang	0.24
sapi	primata	0.25
sapi	pari	0.36
sapi	gagak	0.26
sapi	biota	0.23
sapi	gurita	0.32
sapi	kijang	0.41
sapi	kecoa	0.29
sapi	simpanse	0.22
sapi	pejantan	0.38
sapi	tupai	0.32
sapi	orangutan	0.3
sapi	ngengat	0.23
sapi	tokek	0.29
sapi	garuda	0.32
sapi	musang	0.39
sapi	keong	0.32
sapi	kalkun	0.47
sapi	cicak	0.26
sapi	gorila	0.24
sapi	patin	0.37
sapi	tungau	0.23
sapi	biawak	0.32
sapi	pipit	0.27
sapi	semur	0.41
sapi	mencit	0.34
sapi	bunglon	0.19
sapi	belatung	0.3
sapi	kancil	0.28
sapi	kobra	0.32
sapi	kupu	0.16
sapi	kerapu	0.34
sapi	beo	0.21
sapi	kecoak	0.29
sapi	cecak	0.32
sapi	sanca	0.32
sapi	lutung	0.28
sapi	rajungan	0.33
sapi	nuri	0.19
sapi	iguana	0.3
sapi	lipan	0.28
sapi	celeng	0.46
sapi	wader	0.23
sapi	beruk	0.35
sapi	marmut	0.42
sapi	laron	0.19
sapi	insekta	0.22
sapi	cenderawasih	0.22
sapi	kutilang	0.25
sapi	kelomang	0.28
sapi	pedet	0.54
sapi	lipas	0.32
sapi	cemani	0.43
sapi	bonobo	0.19
sapi	tonggeret	0.21
sapi	gazelle	0.31
sapi	tedong	0.39
sapi	pekatik	0.39
sapi	tongeret	0.27
anjing	kuda	0.53
anjing	ular	0.4
anjing	jantan	0.39
anjing	betina	0.4
anjing	ternak	0.46
anjing	babi	0.56
anjing	serangga	0.33
anjing	tikus	0.54
anjing	gajah	0.43
anjing	singa	0.42
anjing	domba	0.46
anjing	naga	0.33
anjing	bebek	0.38
anjing	buaya	0.41
anjing	cacing	0.36
anjing	paus	0.35
anjing	nyamuk	0.3
anjing	lebah	0.31
anjing	kutu	0.43
anjing	mamalia	0.4
anjing	hiu	0.38
anjing	harimau	0.49
anjing	kerbau	0.42
anjing	semut	0.33
anjing	beruang	0.56
anjing	monyet	0.5
anjing	lele	0.32
anjing	rusa	0.47
anjing	serigala	0.53
anjing	katak	0.28
anjing	unta	0.45
anjing	kera	0.46
anjing	ulat	0.34
anjing	kepiting	0.36
anjing	kodok	0.3
anjing	penyu	0.31
anjing	elang	0.33
anjing	rubah	0.39
anjing	kadal	0.3
anjing	merpati	0.41
anjing	lembu	0.38
anjing	kelelawar	0.36
anjing	belut	0.28
anjing	bersayap	0.24
anjing	keledai	0.43
anjing	belalang	0.32
anjing	siput	0.31
anjing	angsa	0.35
anjing	banteng	0.39
anjing	jangkrik	0.32
anjing	cupang	0.29
anjing	primata	0.41
anjing	pari	0.21
anjing	gagak	0.33
anjing	biota	0.21
anjing	gurita	0.32
anjing	kijang	0.34
anjing	kecoa	0.38
anjing	simpanse	0.38
anjing	pejantan	0.34
anjing	tupai	0.43
anjing	orangutan	0.32
anjing	ngengat	0.27
anjing	tokek	0.32
anjing	garuda	0.12
anjing	musang	0.47
anjing	keong	0.23
anjing	kalkun	0.34
anjing	cicak	0.3
anjing	gorila	0.33
anjing	patin	0.16
anjing	tungau	0.38
anjing	biawak	0.36
anjing	pipit	0.29
anjing	semur	0.23
anjing	mencit	0.32
anjing	bunglon	0.29
anjing	belatung	0.34
anjing	kancil	0.31
anjing	kobra	0.3
anjing	kupu	0.21
anjing	kerapu	0.23
anjing	beo	0.32
anjing	kecoak	0.35
anjing	cecak	0.22
anjing	sanca	0.26
anjing	lutung	0.35
anjing	rajungan	0.2
anjing	nuri	0.2
anjing	iguana	0.4
anjing	lipan	0.31
anjing	celeng	0.41
anjing	wader	0.19
anjing	beruk	0.37
anjing	marmut	0.45
anjing	laron	0.19
anjing	insekta	0.23
anjing	cenderawasih	0.27
anjing	kutilang	0.3
anjing	kelomang	0.38
anjing	pedet	0.33
anjing	lipas	0.37
anjing	cemani	0.3
anjing	bonobo	0.3
anjing	tonggeret	0.24
anjing	gazelle	0.3
anjing	tedong	0.31
anjing	pekatik	0.39
anjing	tongeret	0.34
kuda	ular	0.36
kuda	jantan	0.42
kuda	betina	0.41
kuda	ternak	0.49
kuda	babi	0.41
kuda	serangga	0.27
kuda	tikus	0.35
kuda	gajah	0.53
kuda	singa	0.36
kuda	domba	0.48
kuda	naga	0.4
kuda	bebek	0.4
